study_ID,first_author,year,reference,data_source,age of building(s),occupancy,occupancy period,data collection period,self_selection,funding,conflict_of_interest,comparison_description,certifiaction_level,use_for_MA,use_for_MA2,CB_N,CB_EUI_mean,CB_EUI_SD,CB_total_area,CB_EUI_area_mean,CB_EUI_area_SD,NCB_N,NCB_EUI_mean,NCB_EUI_SD,NCB_total_area,NCB_EUI_area_mean,NCB_EUI_area_SD,Comments,CB_N2,NCB_N2
Scofield_2013,Scofield,2013,"Scofield, J. H. (2013). Efficacy of LEED-certification in reducing energy consumption and greenhouse gas emission for large New York City office buildings. Energy and Buildings, 67, 517_524. https://doi.org/10.1016/j.enbuild.2013.08.032","Table 1, Table 2",NR,NR,NR,NR,NR,NR,NR,LEED certified+ buildings vs US regional big office buildings,certified+,no,yes,21,98,5.9,21600000,106,6.5,49,110,9.9,1131000000,110,10.9,,4.2,9.8
Scofield_2013,Scofield,2013,"Scofield, J. H. (2013). Efficacy of LEED-certification in reducing energy consumption and greenhouse gas emission for large New York City office buildings. Energy and Buildings, 67, 517_524. https://doi.org/10.1016/j.enbuild.2013.08.032","Table 1, Table 2",NR,NR,NR,NR,NR,NR,NR,LEED silver buildings vs office buildings in New York city,silver,no,no,6,104,8.9,7470000,106,8.6,953,97,2,308000000,103,1.7,,6,953
Scofield_2013,Scofield,2013,"Scofield, J. H. (2013). Efficacy of LEED-certification in reducing energy consumption and greenhouse gas emission for large New York City office buildings. Energy and Buildings, 67, 517_524. https://doi.org/10.1016/j.enbuild.2013.08.032","Table 1, Table 2",NR,NR,NR,NR,NR,NR,NR,LEED silver buildings vs US office buildings,silver,no,no,6,104,8.9,7470000,106,8.6,976,80,1.9,12208000000,93,2.2,,6,976
Scofield_2013,Scofield,2013,"Scofield, J. H. (2013). Efficacy of LEED-certification in reducing energy consumption and greenhouse gas emission for large New York City office buildings. Energy and Buildings, 67, 517_524. https://doi.org/10.1016/j.enbuild.2013.08.032","Table 1, Table 2",NR,NR,NR,NR,NR,NR,NR,LEED silver buildings vs US big office buildings,silver,no,no,6,104,8.9,7470000,106,8.6,402,100,3.4,6568000000,103,3.4,,6,402
Scofield_2013,Scofield,2013,"Scofield, J. H. (2013). Efficacy of LEED-certification in reducing energy consumption and greenhouse gas emission for large New York City office buildings. Energy and Buildings, 67, 517_524. https://doi.org/10.1016/j.enbuild.2013.08.032","Table 1, Table 2",NR,NR,NR,NR,NR,NR,NR,LEED silver buildings vs US regional office buildings,silver,no,no,6,104,8.9,7470000,106,8.6,84,86,8.6,1678000000,98,8.4,,6,84
Scofield_2013,Scofield,2013,"Scofield, J. H. (2013). Efficacy of LEED-certification in reducing energy consumption and greenhouse gas emission for large New York City office buildings. Energy and Buildings, 67, 517_524. https://doi.org/10.1016/j.enbuild.2013.08.032","Table 1, Table 2",NR,NR,NR,NR,NR,NR,NR,LEED silver buildings vs US regional big office buildings,silver,no,no,6,104,8.9,7470000,106,8.6,49,110,9.9,1131000000,110,10.9,,6,49
Scofield_2013,Scofield,2013,"Scofield, J. H. (2013). Efficacy of LEED-certification in reducing energy consumption and greenhouse gas emission for large New York City office buildings. Energy and Buildings, 67, 517_524. https://doi.org/10.1016/j.enbuild.2013.08.032","Table 1, Table 2",NR,NR,NR,NR,NR,NR,NR,LEED silver+ buildings vs office buildings in New York city,silver+,no,no,14,91,5.5,14310000,94,5.8,953,97,2,308000000,103,1.7,,14,953
Scofield_2013,Scofield,2013,"Scofield, J. H. (2013). Efficacy of LEED-certification in reducing energy consumption and greenhouse gas emission for large New York City office buildings. Energy and Buildings, 67, 517_524. https://doi.org/10.1016/j.enbuild.2013.08.032","Table 1, Table 2",NR,NR,NR,NR,NR,NR,NR,LEED silver+ buildings vs US office buildings,silver+,no,no,14,91,5.5,14310000,94,5.8,976,80,1.9,12208000000,93,2.2,,14,976
Scofield_2013,Scofield,2013,"Scofield, J. H. (2013). Efficacy of LEED-certification in reducing energy consumption and greenhouse gas emission for large New York City office buildings. Energy and Buildings, 67, 517_524. https://doi.org/10.1016/j.enbuild.2013.08.032","Table 1, Table 2",NR,NR,NR,NR,NR,NR,NR,LEED silver+ buildings vs US big office buildings,silver+,no,no,14,91,5.5,14310000,94,5.8,402,100,3.4,6568000000,103,3.4,,14,402
Scofield_2013,Scofield,2013,"Scofield, J. H. (2013). Efficacy of LEED-certification in reducing energy consumption and greenhouse gas emission for large New York City office buildings. Energy and Buildings, 67, 517_524. https://doi.org/10.1016/j.enbuild.2013.08.032","Table 1, Table 2",NR,NR,NR,NR,NR,NR,NR,LEED silver+ buildings vs US regional office buildings,silver+,no,no,14,91,5.5,14310000,94,5.8,84,86,8.6,1678000000,98,8.4,,14,84
Scofield_2013,Scofield,2013,"Scofield, J. H. (2013). Efficacy of LEED-certification in reducing energy consumption and greenhouse gas emission for large New York City office buildings. Energy and Buildings, 67, 517_524. https://doi.org/10.1016/j.enbuild.2013.08.032","Table 1, Table 2",NR,NR,NR,NR,NR,NR,NR,LEED silver+ buildings vs US regional big office buildings,silver+,no,no,14,91,5.5,14310000,94,5.8,49,110,9.9,1131000000,110,10.9,,14,49
Scofield_2013,Scofield,2013,"Scofield, J. H. (2013). Efficacy of LEED-certification in reducing energy consumption and greenhouse gas emission for large New York City office buildings. Energy and Buildings, 67, 517_524. https://doi.org/10.1016/j.enbuild.2013.08.032","Table 1, Table 2",NR,NR,NR,NR,NR,NR,NR,LEED gold buildings vs office buildings in New York city,gold,no,no,8,81,4.6,6850000,82,5,953,97,2,308000000,103,1.7,,8,953
Scofield_2013,Scofield,2013,"Scofield, J. H. (2013). Efficacy of LEED-certification in reducing energy consumption and greenhouse gas emission for large New York City office buildings. Energy and Buildings, 67, 517_524. https://doi.org/10.1016/j.enbuild.2013.08.032","Table 1, Table 2",NR,NR,NR,NR,NR,NR,NR,LEED gold buildings vs US office buildings,gold,no,no,8,81,4.6,6850000,82,5,976,80,1.9,12208000000,93,2.2,,8,976
Scofield_2013,Scofield,2013,"Scofield, J. H. (2013). Efficacy of LEED-certification in reducing energy consumption and greenhouse gas emission for large New York City office buildings. Energy and Buildings, 67, 517_524. https://doi.org/10.1016/j.enbuild.2013.08.032","Table 1, Table 2",NR,NR,NR,NR,NR,NR,NR,LEED gold buildings vs US big office buildings,gold,no,no,8,81,4.6,6850000,82,5,402,100,3.4,6568000000,103,3.4,,8,402
Scofield_2013,Scofield,2013,"Scofield, J. H. (2013). Efficacy of LEED-certification in reducing energy consumption and greenhouse gas emission for large New York City office buildings. Energy and Buildings, 67, 517_524. https://doi.org/10.1016/j.enbuild.2013.08.032","Table 1, Table 2",NR,NR,NR,NR,NR,NR,NR,LEED gold buildings vs US regional office buildings,gold,no,no,8,81,4.6,6850000,82,5,84,86,8.6,1678000000,98,8.4,,8,84
Scofield_2013,Scofield,2013,"Scofield, J. H. (2013). Efficacy of LEED-certification in reducing energy consumption and greenhouse gas emission for large New York City office buildings. Energy and Buildings, 67, 517_524. https://doi.org/10.1016/j.enbuild.2013.08.032","Table 1, Table 2",NR,NR,NR,NR,NR,NR,NR,LEED gold buildings vs US regional big office buildings,gold,no,no,8,81,4.6,6850000,82,5,49,110,9.9,1131000000,110,10.9,,8,49
Menassa_2012,Menassa,2012,"Menassa, C., Mangasarian, S., El Asmar, M., & Kirar, C. (2012). Energy consumption evaluation of U.S. Navy LEED-certified buildings. Journal of Performance of Constructed Facilities, 26(1), 46_53. https://doi.org/10.1061/(ASCE)CF.1943-5509.0000218","Table 1, Table 3",NR,NR,NR,NR,NR,NR,NR,LEED-rated US Navy administration office vs CBECS data for similarly functional buildings,silver+gold,yes,yes,2,48.4,25.8,54243,55.5,16.8,2,93,277.2,14955,112.7,146.7,,2,2
Tilton_2014,Tilton,2014,"Tilton, C., & El Asmar, M. (2014). Assessing LEED versus Non-LEED energy consumption for a university campus in North America: A preliminary study. In ICSI 2014: Creating Infrastructure for a Sustainable World - Proceedings of the 2014 International Conference on Sustainable Infrastructure (pp. 1071_1076). https://doi.org/10.1061/9780784478745.101",Figure 2,NR,NR,NR,NR,NR,NR,NR,LEED certifiec university office building vs non-certified university office buildings,"certified, silver",yes,yes,2,91.7,27.7,,,,6,88.6,27.6,,,,Actual total floor areas of  building groups not reported. EUI calculated from data extracted from Figure 2 for individual buildings.,2,6
